index_id,index_name,trade_date,open_value,close_value,daily_change
1,NIFTY_50,2023-06-28,15000.0,15096.91,96.91
2,NIFTY_50,2023-06-29,15096.91,15079.41,-17.5
3,NIFTY_50,2023-06-30,15079.41,15204.15,124.74
4,NIFTY_50,2023-07-03,15204.15,15489.63,285.48
5,NIFTY_50,2023-07-04,15489.63,15453.85,-35.78
6,NIFTY_50,2023-07-05,15453.85,15418.16,-35.69
7,NIFTY_50,2023-07-06,15418.16,15718.05,299.89
8,NIFTY_50,2023-07-07,15718.05,15870.66,152.61
9,NIFTY_50,2023-07-10,15870.66,15789.18,-81.48
10,NIFTY_50,2023-07-11,15789.18,15899.88,110.69
11,NIFTY_50,2023-07-12,15899.88,15819.41,-80.47
12,NIFTY_50,2023-07-13,15819.41,15738.91,-80.5
13,NIFTY_50,2023-07-14,15738.91,15792.47,53.57
14,NIFTY_50,2023-07-17,15792.47,15437.79,-354.69
15,NIFTY_50,2023-07-18,15437.79,15125.96,-311.83
16,NIFTY_50,2023-07-19,15125.96,15031.46,-94.5
17,NIFTY_50,2023-07-20,15031.46,14856.28,-175.18
18,NIFTY_50,2023-07-21,14856.28,14919.73,63.45
19,NIFTY_50,2023-07-24,14919.73,14764.62,-155.11
20,NIFTY_50,2023-07-25,14764.62,14521.78,-242.84
21,NIFTY_50,2023-07-26,14521.78,14784.45,262.67
22,NIFTY_50,2023-07-27,14784.45,14751.78,-32.66
23,NIFTY_50,2023-07-28,14751.78,14771.11,19.33
24,NIFTY_50,2023-07-31,14771.11,14525.96,-245.16
25,NIFTY_50,2023-08-01,14525.96,14438.33,-87.63
26,NIFTY_50,2023-08-02,14438.33,14464.77,26.44
27,NIFTY_50,2023-08-03,14464.77,14272.21,-192.55
28,NIFTY_50,2023-08-04,14272.21,14343.69,71.48
29,NIFTY_50,2023-08-07,14343.69,14247.48,-96.21
30,NIFTY_50,2023-08-08,14247.48,14204.73,-42.75
31,NIFTY_50,2023-08-09,14204.73,14109.27,-95.46
32,NIFTY_50,2023-08-10,14109.27,14429.94,320.67
33,NIFTY_50,2023-08-11,14429.94,14434.81,4.88
34,NIFTY_50,2023-08-14,14434.81,14258.82,-176.0
35,NIFTY_50,2023-08-15,14258.82,14406.69,147.87
36,NIFTY_50,2023-08-16,14406.69,14202.83,-203.86
37,NIFTY_50,2023-08-17,14202.83,14245.53,42.7
38,NIFTY_50,2023-08-18,14245.53,13917.66,-327.88
39,NIFTY_50,2023-08-21,13917.66,13702.79,-214.86
40,NIFTY_50,2023-08-22,13702.79,13742.01,39.22
41,NIFTY_50,2023-08-23,13742.01,13870.66,128.65
42,NIFTY_50,2023-08-24,13870.66,13906.12,35.46
43,NIFTY_50,2023-08-25,13906.12,13893.77,-12.35
44,NIFTY_50,2023-08-28,13893.77,13850.52,-43.25
45,NIFTY_50,2023-08-29,13850.52,13611.71,-238.81
46,NIFTY_50,2023-08-30,13611.71,13500.93,-110.77
47,NIFTY_50,2023-08-31,13500.93,13433.05,-67.88
48,NIFTY_50,2023-09-01,13433.05,13610.17,177.12
49,NIFTY_50,2023-09-04,13610.17,13673.1,62.93
50,NIFTY_50,2023-09-05,13673.1,13390.66,-282.44
51,NIFTY_50,2023-09-06,13390.66,13449.43,58.77
52,NIFTY_50,2023-09-07,13449.43,13394.01,-55.42
53,NIFTY_50,2023-09-08,13394.01,13291.91,-102.1
54,NIFTY_50,2023-09-11,13291.91,13396.12,104.21
55,NIFTY_50,2023-09-12,13396.12,13568.55,172.43
56,NIFTY_50,2023-09-13,13568.55,13726.97,158.42
57,NIFTY_50,2023-09-14,13726.97,13595.59,-131.38
58,NIFTY_50,2023-09-15,13595.59,13551.94,-43.65
59,NIFTY_50,2023-09-18,13551.94,13612.59,60.65
60,NIFTY_50,2023-09-19,13612.59,13778.75,166.16
61,NIFTY_50,2023-09-20,13778.75,13706.41,-72.34
62,NIFTY_50,2023-09-21,13706.41,13682.73,-23.68
63,NIFTY_50,2023-09-22,13682.73,13507.92,-174.81
64,NIFTY_50,2023-09-25,13507.92,13320.77,-187.15
65,NIFTY_50,2023-09-26,13320.77,13457.32,136.54
66,NIFTY_50,2023-09-27,13457.32,13683.06,225.74
67,NIFTY_50,2023-09-28,13683.06,13678.08,-4.98
68,NIFTY_50,2023-09-29,13678.08,13849.63,171.56
69,NIFTY_50,2023-10-02,13849.63,13916.66,67.03
70,NIFTY_50,2023-10-03,13916.66,13815.88,-100.78
71,NIFTY_50,2023-10-04,13815.88,13882.71,66.82
72,NIFTY_50,2023-10-05,13882.71,14145.88,263.17
73,NIFTY_50,2023-10-06,14145.88,14146.87,0.99
74,NIFTY_50,2023-10-09,14146.87,14419.56,272.69
75,NIFTY_50,2023-10-10,14419.56,13973.46,-446.1
76,NIFTY_50,2023-10-11,13973.46,14118.27,144.8
77,NIFTY_50,2023-10-12,14118.27,14140.07,21.81
78,NIFTY_50,2023-10-13,14140.07,14096.41,-43.67
79,NIFTY_50,2023-10-16,14096.41,14118.98,22.57
80,NIFTY_50,2023-10-17,14118.98,13789.29,-329.69
81,NIFTY_50,2023-10-18,13789.29,13759.83,-29.45
82,NIFTY_50,2023-10-19,13759.83,13825.68,65.85
83,NIFTY_50,2023-10-20,13825.68,14077.78,252.11
84,NIFTY_50,2023-10-23,14077.78,13997.27,-80.51
85,NIFTY_50,2023-10-24,13997.27,13868.47,-128.8
86,NIFTY_50,2023-10-25,13868.47,13791.9,-76.57
87,NIFTY_50,2023-10-26,13791.9,13950.3,158.4
88,NIFTY_50,2023-10-27,13950.3,14012.31,62.01
89,NIFTY_50,2023-10-30,14012.31,13930.23,-82.07
90,NIFTY_50,2023-10-31,13930.23,14023.0,92.76
91,NIFTY_50,2023-11-01,14023.0,14046.35,23.35
92,NIFTY_50,2023-11-02,14046.35,14216.64,170.29
93,NIFTY_50,2023-11-03,14216.64,14103.98,-112.66
94,NIFTY_50,2023-11-06,14103.98,14055.57,-48.4
95,NIFTY_50,2023-11-07,14055.57,13996.47,-59.11
96,NIFTY_50,2023-11-08,13996.47,13757.66,-238.81
97,NIFTY_50,2023-11-09,13757.66,13813.42,55.77
98,NIFTY_50,2023-11-10,13813.42,13863.6,50.18
99,NIFTY_50,2023-11-13,13863.6,13871.38,7.78
100,NIFTY_50,2023-11-14,13871.38,13839.27,-32.11
101,NIFTY_50,2023-11-15,13839.27,13611.14,-228.13
102,NIFTY_50,2023-11-16,13611.14,13549.24,-61.9
103,NIFTY_50,2023-11-17,13549.24,13500.29,-48.95
104,NIFTY_50,2023-11-20,13500.29,13377.07,-123.22
105,NIFTY_50,2023-11-21,13377.07,13357.87,-19.2
106,NIFTY_50,2023-11-22,13357.87,13429.31,71.45
107,NIFTY_50,2023-11-23,13429.31,13739.99,310.68
108,NIFTY_50,2023-11-24,13739.99,13775.65,35.65
109,NIFTY_50,2023-11-27,13775.65,13825.11,49.46
110,NIFTY_50,2023-11-28,13825.11,13819.67,-5.44
111,NIFTY_50,2023-11-29,13819.67,13508.38,-311.29
112,NIFTY_50,2023-11-30,13508.38,13510.83,2.46
113,NIFTY_50,2023-12-01,13510.83,13527.36,16.52
114,NIFTY_50,2023-12-04,13527.36,13933.97,406.62
115,NIFTY_50,2023-12-05,13933.97,13908.78,-25.2
116,NIFTY_50,2023-12-06,13908.78,13966.06,57.28
117,NIFTY_50,2023-12-07,13966.06,13967.23,1.17
118,NIFTY_50,2023-12-08,13967.23,13778.33,-188.89
119,NIFTY_50,2023-12-11,13778.33,13974.17,195.84
120,NIFTY_50,2023-12-12,13974.17,14107.25,133.08
121,NIFTY_50,2023-12-13,14107.25,14248.22,140.97
122,NIFTY_50,2023-12-14,14248.22,14099.86,-148.36
123,NIFTY_50,2023-12-15,14099.86,14344.26,244.4
124,NIFTY_50,2023-12-18,14344.26,14110.13,-234.13
125,NIFTY_50,2023-12-19,14110.13,14216.55,106.42
126,NIFTY_50,2023-12-20,14216.55,14597.35,380.8
127,NIFTY_50,2023-12-21,14597.35,14431.13,-166.21
128,NIFTY_50,2023-12-22,14431.13,14340.28,-90.85
129,NIFTY_50,2023-12-25,14340.28,14364.6,24.32
130,NIFTY_50,2023-12-26,14364.6,14285.0,-79.6
131,NIFTY_50,2023-12-27,14285.0,14026.32,-258.67
132,NIFTY_50,2023-12-28,14026.32,14044.88,18.55
133,NIFTY_50,2023-12-29,14044.88,13872.86,-172.02
134,NIFTY_50,2024-01-01,13872.86,13958.64,85.78
135,NIFTY_50,2024-01-02,13958.64,13811.61,-147.03
136,NIFTY_50,2024-01-03,13811.61,14075.4,263.79
137,NIFTY_50,2024-01-04,14075.4,13950.14,-125.26
138,NIFTY_50,2024-01-05,13950.14,13903.21,-46.94
139,NIFTY_50,2024-01-08,13903.21,14045.88,142.68
140,NIFTY_50,2024-01-09,14045.88,13845.44,-200.44
141,NIFTY_50,2024-01-10,13845.44,13890.16,44.71
142,NIFTY_50,2024-01-11,13890.16,14114.98,224.82
143,NIFTY_50,2024-01-12,14114.98,13849.76,-265.22
144,NIFTY_50,2024-01-15,13849.76,13887.37,37.61
145,NIFTY_50,2024-01-16,13887.37,13937.62,50.25
146,NIFTY_50,2024-01-17,13937.62,14075.35,137.73
147,NIFTY_50,2024-01-18,14075.35,13873.47,-201.89
148,NIFTY_50,2024-01-19,13873.47,13660.57,-212.89
149,NIFTY_50,2024-01-22,13660.57,13752.96,92.39
150,NIFTY_50,2024-01-23,13752.96,13808.85,55.89
151,NIFTY_50,2024-01-24,13808.85,13857.26,48.41
152,NIFTY_50,2024-01-25,13857.26,13921.8,64.54
153,NIFTY_50,2024-01-26,13921.8,13815.16,-106.65
154,NIFTY_50,2024-01-29,13815.16,13860.57,45.41
155,NIFTY_50,2024-01-30,13860.57,13916.24,55.68
156,NIFTY_50,2024-01-31,13916.24,13803.91,-112.33
157,NIFTY_50,2024-02-01,13803.91,14119.87,315.96
158,NIFTY_50,2024-02-02,14119.87,14207.22,87.35
159,NIFTY_50,2024-02-05,14207.22,14011.22,-196.0
160,NIFTY_50,2024-02-06,14011.22,14128.61,117.4
161,NIFTY_50,2024-02-07,14128.61,13970.43,-158.19
162,NIFTY_50,2024-02-08,13970.43,14109.36,138.94
163,NIFTY_50,2024-02-09,14109.36,14312.58,203.22
164,NIFTY_50,2024-02-12,14312.58,14178.79,-133.8
165,NIFTY_50,2024-02-13,14178.79,14349.79,171.0
166,NIFTY_50,2024-02-14,14349.79,14428.04,78.25
167,NIFTY_50,2024-02-15,14428.04,14577.59,149.54
168,NIFTY_50,2024-02-16,14577.59,14916.68,339.1
169,NIFTY_50,2024-02-19,14916.68,14880.22,-36.47
170,NIFTY_50,2024-02-20,14880.22,14753.07,-127.15
171,NIFTY_50,2024-02-21,14753.07,14602.97,-150.1
172,NIFTY_50,2024-02-22,14602.97,14467.31,-135.66
173,NIFTY_50,2024-02-23,14467.31,14461.16,-6.15
174,NIFTY_50,2024-02-26,14461.16,14527.59,66.43
175,NIFTY_50,2024-02-27,14527.59,14583.09,55.5
176,NIFTY_50,2024-02-28,14583.09,14735.14,152.05
177,NIFTY_50,2024-02-29,14735.14,14744.8,9.67
178,NIFTY_50,2024-03-01,14744.8,15009.36,264.56
179,NIFTY_50,2024-03-04,15009.36,14969.2,-40.16
180,NIFTY_50,2024-03-05,14969.2,15465.31,496.11
181,NIFTY_50,2024-03-06,15465.31,15589.15,123.85
182,NIFTY_50,2024-03-07,15589.15,15436.6,-152.55
183,NIFTY_50,2024-03-08,15436.6,15245.95,-190.65
184,NIFTY_50,2024-03-11,15245.95,15341.84,95.89
185,NIFTY_50,2024-03-12,15341.84,15308.37,-33.47
186,NIFTY_50,2024-03-13,15308.37,15447.19,138.82
187,NIFTY_50,2024-03-14,15447.19,15542.63,95.45
188,NIFTY_50,2024-03-15,15542.63,15536.82,-5.81
189,NIFTY_50,2024-03-18,15536.82,15386.71,-150.11
190,NIFTY_50,2024-03-19,15386.71,15114.7,-272.01
191,NIFTY_50,2024-03-20,15114.7,15041.27,-73.43
192,NIFTY_50,2024-03-21,15041.27,15203.37,162.1
193,NIFTY_50,2024-03-22,15203.37,15250.03,46.66
194,NIFTY_50,2024-03-25,15250.03,15029.68,-220.35
